Start,End,Distance
4001,5499,151.79
4001,5519,45.29
4001,5522,140.41
4001,5530,56.64
4001,5545,95.56
4001,5562,103.56
4001,5568,107.87
4001,5579,119.52
4001,5584,63.51
4001,5601,41.33
4001,5602,59.01
4001,5606,111.46
4001,5616,64.07
4001,5619,113.38
4001,5620,47.53
4001,5622,166.65
4001,5626,74.7
4001,5633,100.61
4001,5637,118.63
4001,5643,91.22
4001,5647,97.22
4001,5660,76.17
4001,5664,68.78
4001,5669,114.69
4001,5676,48.86
4001,5677,134.04
4001,5679,
4001,5685,54.39
4001,5686,36.31
4001,5690,101.16
4001,5694,179.93
4001,5699,100.84
4001,5700,61.97
4001,5721,79.94
4001,5722,101.8
4001,5723,43.71
4001,5729,88.27
4001,5738,36.19
4001,5739,112.27
4001,5741,33.04
4001,5747,126.67
4001,5754,43.67
4001,5763,78.8
4001,5764,44.9
4001,5768,99.95
4001,5769,128.81
4001,5771,138.18
4001,5782,87.02
4001,5789,96.38
4001,5793,116.97
4001,5795,103.08
4001,5801,83.96
4001,5804,90.12
4001,5805,
4001,5806,64.62
4001,5812,53.63
4001,5813,83.07
4001,5818,125.47
4001,5821,72.73
4001,5824,108.8
4001,5832,34.36
4001,5833,66.44
4001,5838,45.49
4001,5843,33.06
4001,5844,62.23
4001,5846,52.2
4001,5848,39.0
4001,5853,71.63
4001,5862,141.96
4001,5865,41.74
4001,5866,100.06
4001,5872,78.94
4001,5875,74.35
4001,5877,154.28
4001,5879,85.75
4001,5881,139.32
4001,5884,48.51
4001,5885,116.1
4001,5886,70.7
4001,5887,36.42
4001,5891,115.07
4001,5893,81.0
4001,5911,86.4
4001,5917,97.79
4002,1,5.5
4002,4000,8.14
4002,4001,22.45
4002,4002,0.0
4002,4006,136.21
4002,4008,24.59
4002,4010,35.66
4002,4011,103.23
4002,4012,117.33
4002,4014,67.43
4002,4015,50.92
4002,4016,34.11
4002,4018,120.19
4002,4021,72.15
4002,4027,24.93
4002,4032,73.88
4002,4033,44.95
4002,4034,65.71
4002,4035,107.19
4002,4045,62.66
4002,4048,91.08
4002,4059,96.23
4002,4064,
4002,4071,34.29
4002,4077,66.5
4002,4087,8.88
4002,4088,103.29
4002,4105,27.14
4002,4114,109.76
4002,4116,71.4
4002,4126,79.25
4002,4139,152.47
4002,4142,84.15
4002,4144,43.3
4002,4152,19.36
4002,4164,11.11
4002,4168,84.62
4002,4176,105.05
4002,4179,32.42
4002,4191,108.95
4002,4196,39.74
4002,4207,71.88
4002,4211,71.84
4002,4212,65.92
4002,4221,68.02
4002,4222,95.03
4002,4228,63.57
4002,4232,23.32
4002,4234,100.1
4002,4248,143.12
4002,4250,142.4
4002,4252,14.95
4002,4253,30.25
4002,4258,45.48
4002,4259,46.79
4002,4273,31.25
4002,4274,117.0
4002,4303,48.41
4002,4316,102.71
4002,4324,118.05
4002,4327,49.83
4002,4330,139.89
4002,4332,40.51
4002,4339,69.19
4002,4361,72.15
4002,4374,48.5
4002,4377,
4002,4379,69.89
4002,4381,120.6
4002,4385,92.27
4002,4389,58.84
4002,4400,53.98
4002,4414,61.81
4002,4415,29.37
4002,4418,70.6
4002,4422,120.28
4002,4426,30.09
4002,4432,11.12
4002,4433,112.88
4002,4438,30.89
4002,4443,47.2
4002,4467,116.44
4002,4472,143.3
4002,4480,133.06
4002,4482,85.83
4002,4495,73.5
4002,4496,59.58
4002,4498,75.83
4002,4501,127.54
4002,4512,145.88
4002,4519,72.72
4002,4536,130.46
4002,4545,
4002,4550,34.48
4002,4568,74.55
4002,4601,27.15
4002,4603,98.34
4002,4617,12.77
4002,4622,146.58
4002,4624,
4002,4625,83.88
4002,4631,134.23
4002,4644,
4002,4652,94.46
4002,4681,107.64
4002,4686,100.49
4002,4696,90.38
4002,4716,41.13
4002,4717,104.18
4002,4721,35.56
4002,4732,35.21
4002,4740,28.56
4002,4759,32.82
4002,4765,80.4
4002,4769,78.74
4002,4771,131.56
4002,4772,75.24
4002,4805,62.33
4002,4806,48.26
4002,4809,138.45
4002,4817,89.11
4002,4832,4.47
4002,4850,126.57
4002,4852,38.64
4002,4853,53.86
4002,4863,6.31
4002,4878,101.04
4002,4888,80.81
4002,4889,92.33
4002,4910,133.63
4002,4915,45.13
4002,4919,79.38
4002,4925,39.65
4002,4931,128.69
4002,4942,104.63
4002,4946,44.69
4002,4953,32.8
4002,4963,42.53
4002,4964,102.07
4002,4968,74.27
4002,4969,102.79
4002,4970,120.13
4002,4996,93.17
4002,5005,80.14
4002,5033,106.65
4002,5039,7.63
4002,5049,177.68
4002,5050,47.49
4002,5051,91.06
4002,5054,155.44
4002,5067,54.6
4002,5076,11.11
4002,5086,129.65
4002,5087,23.01
4002,5095,106.53
4002,5096,110.89
4002,5105,145.59
4002,5106,66.61
4002,5111,76.95
4002,5118,85.74
4002,5120,112.78
4002,5125,64.2
4002,5137,73.07
4002,5140,70.79
4002,5143,76.09
4002,5155,114.99
4002,5162,49.05
4002,5164,47.52
4002,5174,93.91
4002,5181,102.55
4002,5189,78.29
4002,5200,5.56
4002,5201,109.54
4002,5205,148.0
4002,5207,15.39
